'1번째 선수
이름(1) = "한지원"
랭크(1) = "Normal"
OYear(1) = "<11>"
Team(1) = "삼성전자"
종족(1) = "2"
공격력(1) = "450"
견제(1) = "450"
전략(1) = "450"
물량(1) = "600"
수비력(1) = "550"
정찰(1) = "500"
센스(1) = "500"
컨트롤(1) = "500"

'2번째 선수
이름(2) = "서지수"
랭크(2) = "Normal"
OYear(2) = "<11>"
Team(2) = "STX"
종족(2) = "1"
공격력(2) = "550"
견제(2) = "450"
전략(2) = "450"
물량(2) = "400"
수비력(2) = "400"
정찰(2) = "450"
센스(2) = "400"
컨트롤(2) = "600"

'3번째 선수
이름(3) = "김성운"
랭크(3) = "Normal"
OYear(3) = "<11>"
Team(3) = "웅진"
종족(3) = "2"
공격력(3) = "500"
견제(3) = "500"
전략(3) = "450"
물량(3) = "450"
수비력(3) = "450"
정찰(3) = "500"
센스(3) = "500"
컨트롤(3) = "600"

'4번째 선수
이름(4) = "백동건"
랭크(4) = "Normal"
OYear(4) = "<11>"
Team(4) = "웅진"
종족(4) = "3"
공격력(4) = "500"
견제(4) = "500"
전략(4) = "450"
물량(4) = "550"
수비력(4) = "500"
정찰(4) = "450"
센스(4) = "450"
컨트롤(4) = "450"

'5번째 선수
이름(5) = "윤지용"
랭크(5) = "Normal"
OYear(5) = "<11>"
Team(5) = "웅진"
종족(5) = "3"
공격력(5) = "600"
견제(5) = "450"
전략(5) = "450"
물량(5) = "550"
수비력(5) = "450"
정찰(5) = "450"
센스(5) = "450"
컨트롤(5) = "500"

'6번째 선수
이름(6) = "홍진표"
랭크(6) = "Normal"
OYear(6) = "<11>"
Team(6) = "웅진"
종족(6) = "1"
공격력(6) = "450"
견제(6) = "500"
전략(6) = "450"
물량(6) = "600"
수비력(6) = "550"
정찰(6) = "500"
센스(6) = "450"
컨트롤(6) = "450"

'7번째 선수
이름(7) = "이호성"
랭크(7) = "Normal"
OYear(7) = "<11>"
Team(7) = "SK"
종족(7) = "3"
공격력(7) = "550"
견제(7) = "600"
전략(7) = "550"
물량(7) = "550"
수비력(7) = "350"
정찰(7) = "400"
센스(7) = "450"
컨트롤(7) = "550"

'8번째 선수
이름(8) = "김민규"
랭크(8) = "Normal"
OYear(8) = "<11>"
Team(8) = "MBC"
종족(8) = "2"
공격력(8) = "600"
견제(8) = "550"
전략(8) = "400"
물량(8) = "500"
수비력(8) = "400"
정찰(8) = "400"
센스(8) = "450"
컨트롤(8) = "550"

'9번째 선수
이름(9) = "김용혁"
랭크(9) = "Normal"
OYear(9) = "<11>"
Team(9) = "MBc"
종족(9) = "2"
공격력(9) = "500"
견제(9) = "450"
전략(9) = "550"
물량(9) = "450"
수비력(9) = "400"
정찰(9) = "450"
센스(9) = "450"
컨트롤(9) = "550"

'10번째 선수
이름(10) = "오세기"
랭크(10) = "Normal"
OYear(10) = "<11>"
Team(10) = "MBC"
종족(10) = "1"
공격력(10) = "500"
견제(10) = "500"
전략(10) = "500"
물량(10) = "550"
수비력(10) = "450"
정찰(10) = "500"
센스(10) = "550"
컨트롤(10) = "450"

'11번째 선수
이름(11) = "정재우"
랭크(11) = "Normal"
OYear(11) = "<11>"
Team(11) = "MBC"
종족(11) = "2"
공격력(11) = "550"
견제(11) = "500"
전략(11) = "450"
물량(11) = "450"
수비력(11) = "500"
정찰(11) = "450"
센스(11) = "500"
컨트롤(11) = "550"

'12번째 선수
이름(12) = "하재상"
랭크(12) = "Normal"
OYear(12) = "<11>"
Team(12) = "MBC"
